Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EK","Tendances dans l’élevage","051","Arménie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2018","2018","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","051","Arménie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2019","2019","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","051","Arménie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2020","2020","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","051","Arménie","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","6.67","E","Valeur estimée"
"EK","Tendances dans l’élevage","051","Arménie","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","6.85","E","Valeur estimée"
"EK","Tendances dans l’élevage","051","Arménie","7211","Part du total des animaux","02151","Poulets","2018","2018","% du total des UGB","8.57","E","Valeur estimée"
"EK","Tendances dans l’élevage","051","Arménie","7211","Part du total des animaux","02151","Poulets","2019","2019","% du total des UGB","8.2","E","Valeur estimée"
"EK","Tendances dans l’élevage","051","Arménie","7211","Part du total des animaux","02151","Poulets","2020","2020","% du total des UGB","8.42","E","Valeur estimée"
"EK","Tendances dans l’élevage","036","Australie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","036","Australie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","036","Australie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2018","2018","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","036","Australie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2019","2019","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","036","Australie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2020","2020","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","036","Australie","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","2.88","E","Valeur estimée"
"EK","Tendances dans l’élevage","036","Australie","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","2.89","E","Valeur estimée"
"EK","Tendances dans l’élevage","036","Australie","7211","Part du total des animaux","02151","Poulets","2018","2018","% du total des UGB","3.03","E","Valeur estimée"
